Article,Label
"Amid continued communal violence in parts of northeast Delhi that has claimed 18 lives, the Congress top leadership started deliberations on the issue at a meeting of its working committee on Wednesday.

Congress president Sonia Gandhi and top leaders like Manmohan Singh, A K Anthony, Ghulam Nabi Azad, P Chidambaram, Priyanka Gandhi were present during the meeting.

However, Congress leader Rahul Gandhi was not present at the meeting as he is abroad, sources said.

The party is likely to evolve a strategy on the continued violence in Delhi, following protests over the Citizenship (Amendment) Act (CAA).

The Congress is against the CAA and has urged the government to keep it in abeyance or take it back as it is causing concern among a major section of the country's population, especially the Muslim community.

The death toll in the northeast Delhi communal violence over the amended citizenship law rose to 18 on Wednesday, according to GTB Hospital authorities.

Communal violence in northeast Delhi escalated on Tuesday as police struggled to check the rioters who ran amok on streets, burning and looting shops, pelting stones and thrashing people.

Also Read | Delhi violence: Acid thrown at paramilitary force from top of houses in Karawal Nagar

Also Read | Delhi violence: Curfew imposed in four areas; 13 killed, over 180 injured

Also Watch | Shoot-at-sight order issued in violence-hit areas of North East Delhi",congress
"PANAJI: The budget session of the state legislative assembly which will begin on Monday is likely to see a face off between the treasury benches and the opposition as the latter has decided to raise various issues, including Mhadei water diversion, law and order, extortion call to a minister, state's finances and Citizenship Amendment Act (CAA).

Chief minister Pramod Sawant will present the state budget for the fiscal year 2020-21 on February 6. Sawant has received 395 suggestions and ideas from the public for preparation of the budget 2020-21.

The focus of the budget is expected to be sustainable development of the state. Sawant has hinted that the state budget will be on the lines of the Union Budget.

The state government will introduce around 13 government bills during the budget session, including the bill which will allow setting up of private universities in the state. ""Private university bill will help make Goa an educational hub and it is a green industry,"" Sawant said.

Opposition parties, including Congress, GFP, MGP and independent MLAs are likely to work together to corner the government during the budget session.

Oppn to raise law & order, finance issues in House

Leader of the opposition Digambar Kamat said that Congress would coordinate with other opposition parties to checkmate the government on the floor of the House.

The Margao Congress legislator said the opposition will raise law and order issues, the bad finances of the state and other issues.

Goa Forward Party (GFP) has already said that it would urge the speaker to allow a debate on CAA in the assembly as the CM has agreed to it, and said it would be an opportunity for those 'suffocating' in the BJP, to voice their opinions .

Fatorda MLA and GFP president Vijai Sardesai is likely to raise the issue of the extortion bid on PWD minister Deepak Pauskar.

A few days ago, the Goa Forward president said that it is a matter of concern that a legislator MLA was threatened, and some persons tried to extort money from him, yet the accused were barely kept in custody for a night, and then released.

The police should have investigated the matter properly, Sardesai said.

On January 7, when the House met for a day, a united opposition moved an adjournment motion to discuss the Mhadei water diversion issue. However, but the speaker did not allow the motion citing that the one-day session was called specifically to ratify a bill passed in the assembly, and that the issue was not recent.",None
"Bengaluru: Condemning the police attack at the Jamia Millia Islamia University library in December, historian Ramachandra Guha on Friday said authoritarians, including high-ranking officials of the British Raj and former Prime Minister Indira Gandhi, had spared varsity libraries as they read books.

Speaking at a panel discussion on Citizenship: Identity and Migration, organised by The Network of Women in Media-India, Guha said: ""Students were active in protesting against the British during the Quit India movement and during the JP movement against Indira Gandhi, but police never vandalised university libraries. Although the Viceroy and Indira Gandhi were authoritarians, they read books.""

Referring to the library attack at Jamia on December 15, Guha said: ""The politics behind CAA is to make Indian Muslims second-class citizens in the country. It's a discriminatory act as only Muslims will be persecuted.""

""The DNA of the government is to create hatred and fear of Muslims and not love for Hindus or pride of Hinduism. This is apparent to anyone who has been to Gujarat. NRC is aimed to intimidate and harass Indian Muslims,"" the historian said.

Referring to the abrogation of Article 370 and turning the Muslim-majority state of Kashmir into a Union territory, he said the sufferings of ordinary Kashmiris who had nothing to do with terrorism or jihad have only worsened. ""This is the government that hates ideas and independent thinking; they declared a war against the country's best universities,"" Guha added.",congress
"Protesters from Jamia were stopped from marching to parliament by the police.

HighlightsHundreds join protest against the Citizenship Amendment Act Protesters stopped by police 2 km away from the Jamia university Some protesters have been detained by the policeNew Delhi:

Hundreds of people protesting against the Citizenship Amendment Act got into a scuffle with the Delhi Police this afternoon after they insisted on marching towards the Parliament House. The protesters included students from Jamia Millia Islamia, its alumni and the locals from the surrounding areas.

Shouting ""Kagaz nahin dikhayenge (we won't show any documents)"" the protesters -- had started the march from the university. But barely two km away, they were intercepted by the police, who said the protesters did not have any permission to march to parliament.

The scuffle broke out at the last barricade when the protesters insisted on moving forward. Visuals from the area showed some trying to jump over barricades as police in riot gear tried to stop them.

Some of the protesters have been detained by the police.

The clash came as the Supreme Court issued notices to the Centre and the Delhi government over the two-month-long protest at Shaheen Bang, which has come to be known as the epicentre of the agitation against the controversial law.

The court took note as a 12-year-old National Bravery Award Winner wrote to Chief Justice Bobde over the recent death of a four-month-old baby, whose mother had been taking him to the protest ground in the freezing cold. ""No protest can be held in a common area for so long,"" the court said.

Along with Shaheen Bagh, the Jamia university has also been witnessing protests since the citizenship law was passed in December.

The CAA provides for citizenship for non-Muslim minorities from Muslim-majority countries like Pakistan, Bangladesh and Afghanistan if they fled religious persecution and entered India before 2015. Critics believe the law, along with the NRC, will be used to target Muslims.

Comments",None
"NEW DELHI: The JD(U) on Wednesday expelled vice-president Prashant Kishor and senior leader Pavan Kumar for their ""anti-party"" activities.

Both the leaders have been attacking the party leadership over its pro-CAA stand.

The spat between Kumar and Kishor was out in the open yesterday when the former reminded the political strategist that he was inducted into the party on the recommendation of Union home minister Amit Shah. +

It all began when Nitish, while talking to the media here, said, ""I don't have any problem if he (Kishor) wants to leave the party. But if he wants to stay, then he will have to follow the basic structure of the party.""

Nitish reminded Kishor that he was inducted in the JD (U) on the recommendations of Union home minister Amit Shah. ""Amit Shah Ji told me to take him in the party. But he (Kishor) works for different kinds of people as a (poll) strategist. He is now working for Aam Aadmi Party (AAP). He might have ambitions to go places. He is free to go,"" the CM said.

Soon after Kumar's remarks, Kishor, in a tweet, hit back at Nitish + , saying, ""@NitishKumar, what a fall for you to lie about how and why you made me join JDU!!!! Poor attempt on your part to try and make my colour same as yours! And if you are telling the truth who would believe that you still have courage not to listen to someone recommended by @AmitShah? (sic).""

Varma and Kumar have also been at loggerheads over the past few days after the former shared screenshots of a two-page letter written to the Bihar chief minister, questioning the party's decision to contest the Delhi assembly polls in alliance with BJP.

Soon after Varma made the letter public, Kumar said that he is free to quit JD(U) if he wishes.",None
"As many as 154 prominent citizens, including former judges, bureaucrats, armed forces officers and academics, on Monday said a ""false and motivated"" campaign was being launched against the Citizenship Amendment Act (CAA), the National Population Register (NPR) and the National Register of Citizens (NRC) with a sinister design to harm the nation.

In a letter to President Ram Nath Kovind, they urged the Centre to look into the ongoing protests with all seriousness and safeguard the democratic institutions of the country, and to take stern action against those behind them.

The citizens, including 11 former judges of High Courts, 24 retired IAS officers, 11 former Indian Foreign Service officers, 16 retired IPS and 18 former Lieutenant-Generals, said ""fear"" was being spread across the length and breadth of India which appeared to be ""motivated and with a sinister design"" to harm the nation.

They said the campaign was being carried out in a ""coordinated manner"" leading to violent protests in which public and private property had been destroyed. There had been a ""false and nefarious narrative"" about the recently enacted legislation such as the CAA, and the idea of the NPR and the NRC.",None
"NEW DELHI: The government on Saturday allocated Rs 2826.92 crore to the sports budget for the next financial year, which is up by a mere Rs 50 crore from the revised estimates of 2019-20.

The government gave a substantial hike of Rs 291.42 crore to its flagship Khelo India programme for development of sports at the grassroot and youth level, which meant that most of the other heads got reduced allocation in an Olympic year.

The highest reduction was for National Sports Federations with Rs 245.00 crore being allocated in the union budget presented by Finance Minister Nirmala Sitharaman, Rs 55 crore less than the revised Rs 300.85 for 2019-20.

As far as incentives for sportspersons are concerned, the budget has proposed to slash the amount from Rs 111 crore to Rs 70 crore. The budget for National Sports Development Fund also got reduced to Rs 50.00 from the earlier Rs 77.15 crore.

The government also reduced the allocation to Sports Authority of India (SAI) from the revised Rs 615 crore to Rs 500 crore. The SAI is the nodal organisation to manage nationals camps, provide infrastructure, equipment and other logistics to the country's sportspersons.

The allocation for the 2010 Commonwealth Games-SAI stadia renovation was also slashed to Rs 75 crore from Rs 96 crore last year.

National Welfare Fund for Sportspersons will continue to get the same amount of Rs 2 crore as earlier, while, at Rs 50 crore, there was also no change in the allocation for the enhancement of sports facilities in Jammu and Kashmir.

Laxmi Bai National Institute of Physical Education will, however, get Rs 55 crore, Rs 5 crore more than the last budget.

In the budget for 2019-20, Rs 2216.92 was allocated for sports but it was later revised to 2776.92.",None
"U.S. President Donald Trump is expected to raise U.S.'s concerns around the Citizenship Amendment Act (CAA) and National Register of Citizens (NRC) with Prime Minister Narendra Modi, when he visits India next week, as per senior administration officials who had a briefing call with reporters on Friday.

Ahmedabad Mayor Bijal Patel as chairperson, two parliamentarians, president of the Gujarat Chambers of Commerce and Industries and other eminent citizens and Padma recipients are the members of a newly-formed Donald Trump Nagarik Abhivadan Samiti (DTNAS), which is holding the 'Namaste Trump' event at Motera stadium in Ahmedabad on February 24.

Following the agreement allowing some 35,000 displaced Bru tribal people to settle permanently in Tripura, tension is brewing between the Brus and the non-tribal Bengali residents who worry that they will become refugees in the State. Rahul Karmakar reports on the challenges to secure suitable land for both.

The Madras High Court on Friday dismissed a writ petition filed by Puducherry Chief Minister V. Narayanasamy challenging a decision taken by the President concurring with Lieutenant Governor Kiran Bedi, in favour of disbursing cash to ration cardholders instead of supplying them rice as resolved by the Council of Ministers of the Union Territory.

At least 400 scientists have petitioned the Department of Science & Technology (DST) to withdraw a proposal that solicits research into indigenous cows.

Giriraj Singh, Union Minister and BJP MP from Begusarai, has made yet another controversial statement. The BJP allies -- the Janata Dal (United) and the Lok Janshakti Party -- have urged him not to make such comments.

Prime Minister Narendra Modi has asked members of the newly constituted Ram temple trust to ensure that construction work on the temple is conducted harmoniously and without any bitterness, the trust's general secretary Champat Rai said on Friday. President of the Shri Ram Janmabhoomi Teertha Kshetra Nritya Gopal Das and three other members called on the prime minister at his residence here on Thursday and invited him to visit Ayodhya for the 'bhoomi pujan', or ground-breaking ceremony.

U.S. President Donald Trump has made yet another tall claim about the size of the crowd that will welcome him in Ahmedabad, saying Prime Minister Narendra Modi had told him that there will be 10 million people to greet him on his arrival.

Australia off-spinner Ashton Agar took a career-best 5-24, including a hat-trick, as they thrashed hosts South Africa by a massive 107 runs in the first Twenty20 International at The Wanderers on Friday.

Democratic presidential candidate Bernie Sanders on Friday condemned Russian efforts to interfere in the 2020 election.",BJP
"Intruders said ""We will skin you alive"", says well-known documentary film maker

Kasturi Basu, a resident of Patuli in south Kolkata, had come back from her routine evening door-to-door campaign against the Citizenship (Amendment) Act (CAA) on Sunday night when about half a dozen men barged into her house and 'threatened' her for campaigning against the citizenship law.

Ms. Basu is a well-known activist and documentary film maker.

""My partner and I reached home when around 9 pm the apartment's caretaker informed me that seven men who identify themselves as BJP workers have barged into the premises and are looking for me,"" she said.

Ms. Basu and her partner Dwaipayan Banerjee, also an activist, are two of the founding members of the People's Film Collective (PFC), a people-funded body that screens films every month in the city. They also hold the annual People's Film Festival. Writers like Arundhati Roy and film makers like Anand Patwardhan took part in the PFC's festivals. Of late, the couple, with a team of a few dozen civil society members, started a door-to-door campaign against the CAA, the National Population Register (NPR) and the National Register of Citizens (NRC) which has irked the local BJP, Ms. Basu said.

""I took a picture to keep a record of them trespassing into the premises as they started taking a video of me and when I confronted them that this is against my consent, one of them said 'Ga'er chamra chariye nebo' [We will skin you alive]."" One of them identified as Tulsi Gharami is ""one of the foot soldiers of Baban Ghosh, a local BJP strongman,"" Ms. Basu said. An FIR has been lodged against them under ""common intention of wrongdoing, restrain and assault, criminal intimidation, and trespassing,"" she said.

An official in the local police station at Patuli said two cases are registered. ""Both sides have filed complaints against each other. Investigation is on,"" the officer said.",BJP
"Yechury said Left workers will launch agitation wherever Trump goes during the tour on February 24 and 25

CPI(M) general secretary Sitaram Yechury said on Thursday that his party will stage protest during U.S. President Donald Trump's visit to the country later this month, as he was coming to boost American economy at the cost of India's interest.

Yechury said the Left workers will launch agitation wherever Trump goes during the tour on February 24 and 25.

Also read | Editorial: Birds of a feather: On Trump-Modi chemistry

""May be in Delhi or in Gujarat, the party activists will certainly protest"", he said.

The CPI(M) leader said the protests would be held on two counts.

""Firstly, America is putting pressure and (Narendra) Modi is succumbing to completely open up our economy which is the gain they want to achieve in order to give support to Modi on issues like CAA, Article 370 and others, Yechury told reporters on the sideline of an anti-CAA rally here.

""That is the quid pro quo going on, which is not in India's interest.

""This apart, we will be spending billions of dollars for buying U.S. military equipment, to bailout U.S. economy while destroying our own,"" Yechury remarked.

Also read | 1.25 lakh to attend 'Kem chho Trump' show in Ahmedabad

Replying to a question on the increase in LPG cylinder price, the CPM leader said his party has been protesting against it at many centres and places.

""The price hike is completely unwarranted. The international oil prices are not on escalating. In fact it is de-escalating a little.

""This is all because of the crisis created in the balance sheets of our oil majors by the Modi government which started borrowing from them in terms of greater dividends and destroying the balance sheet,"" he alleged.

""In order to stabilise the balance sheets, they are doing it (price hike of LPG cylinder). There is no necessity at all for increasing the price,"" Yechury said, adding the balance sheet is rectified in order to prepare the oil majors for disinvestment.

On the Union Finance Minister Nirmala Sitharaman's ""Green shoots"" remark, Yechury said: ""With due respect to the finance minister, she may be suffering from colour blindness.""

Sitharaman had on Tuesday last said the economy is not in trouble and green shoots are visible with the country moving towards a $5 trillion economy.",BJP
"Marcus Joseph and Henry Kisekka have to fire again for the host

Gokulam Kerala is easily one of the stronger sides in the I-League, but it has not quite been able to translate that reputation into performance. Take for instance its match against TRAU last weekend; it had to settle for a draw despite taking an early lead and dominating the match.

The host will have to come up with a better show if it has to return to winning ways in its match on Saturday. Its rival Real Kashmir is no pushover.

It is not just one of the most inspiring stories coming out of Indian sport in recent times, it is quite a formidable side, too. It is placed sixth in table with 12 points. Gokulam has 14 points and is fourth but has played a match more.

Fernando Santiago Valera's boys have to show more consistency if they want to mount a serious challenge for the title. After beating East Bengal 3-1 -- perhaps their best win yet of the season -- they lost 1-3 to Punjab, defeated Churchill Brothers 1-0 and drew 1-1 with TRAU.

Real Kashmir will start in a more confident frame of mind, having won both its last matches. It had scored identical 2-0 wins over Indian Arrows and Aizawl, both away encounters. The addition to the squad of striker Robin Singh and defender Rena Salton -- both loaned from ISL side Hyderabad FC -- is a boost.

Kashmir's coach David Robertson said Gokulam was a tough rival. ""They were built up as one of the favourites for the title this season,"" he told The Hindu. ""But they have had ups and downs this season, like us.""

Gokulam must be hoping that Saturday's match will be one of the ups. For that to happen, Marcus Joseph and Henry Kisekka, the two imports who have formed one of the most lethal combinations up front in the I-League, may have to continue with their scoring spree. Together they have netted 10 of their team's 12 goals.",None
"The Assam government will soon bring in a law to convert all government-run madrassas and Sanskrit tols (ashrams where Sanskrit is taught) into high schools and higher secondary schools, said Assam education minister Himanta Biswa Sarma on Wednesday.

Sarma said this process would be completed in the next two months.

""These madrassas will function within a regulatory framework. We are bringing a law where government-run madrassas have to function under a regulatory framework and disclose the number of students enrolled. They will have to compulsorily teach general subjects along with religious one,"" Himanta Biswa Sarma said.

Explaining the rationale for this, Himanta Biswa Sarma said, ""Since the state is a secular institution, it can't fund religious teaching.""

He said the Assam government has been running madrassas and Sanskrit tols and it is the result of this that today Assam has nearly 1,200 madrasas and 200 Sanskrit tols.

Himanta Biswa Sarma said the government has decided to convert them to high and higher secondary schools because at present there is no independent board to regulate them.

""These (govt-run madrassas and Sanskrit tols) issue certificates which are equivalent to metriculation (Class 10) and higher secondary (Class 12). Since there is no regulatory board to govern them, a lot of wrongdoings take place in issuing these certificates,"" the minister said.

He however clarified that this decision will not affect privately run madrassas. ""The Assam government has no issue with the madrassas that are being run by various social organisations and NGOs.

ALSO READ | NRC debate is a fight between India's and Jinnah's legacy: BJP's Himanta Biswa Sarma

ALSO READ | Assam MLA goes down on his knees to beg for forgiveness from public

ALSO WATCH | NRC's dilemma: Lakhs face identity crisis in Assam",None
"The renaming of Basti district after Maharishi Vashishth appears to be on the cards with the local administration sending a proposal on this to the state's revenue board.

District Magistrate Ashutosh Niranjan said the proposal to change the name of the district has been sent to the revenue board and the expenditure for it is pegged around Rs 1 crore.

The Adityanath government has changed the name Allahabad to Prayagraj and Faizabad to Ayodhya. It has also renamed Mughalsarai railway station after Deen Dayal Upadhyay.

According to officials, about a year ago during Basti Mahotsav, Chief Minister Adityanath had announced that Basti Medical College will be named after Maharishi Vashishth, who according to Hindu mythology was the guru of Lord Rama.

After that announcement, a number of people including MP Harish Dwivedi and MLA Ajay Kumar Singh demanded changing the name of the district.

On November 28 last year, the proposal of changing the name of the district was sent to the Revenue Board which sought an estimated cost for the purpose, officials said.

Following proper analysis on the expenditure which is likely to be incurred District magistrate Ashutosh Niranjan sent the revised report to Commissioner Anil Kumar Sagar who in turn forwarded it to the the government, they added.

Some believe that Basti was earlier known as Vaishishthi.

According to Hindu mythology, the modern day Basti district was the ashram of Sage Vashishth the teacher of Lord Ram and his brother Lakshman.

Also read: Kashmiri youth dies in Jaipur hospital after being beaten up by colleagues

ALSO WATCH| Real face of Kashmiri youths; UN report on Kashmir flawed; more",None
"Waris Pathan said his statement is being twisted to target and defame him (File)

Mumbai:

After massive outrage over his ""15-crore (Muslims) will prove stronger than the 100-crore majority (Hindus)"" comment, AIMIM former legislator from Maharashtra, Waris Pathan, on Saturday withdrew his controversial statement, saying he had no intentions to hurt the sentiments of any community.

""My statement is being twisted to target and defame me and my party due to a political conspiracy. However, I take back my words if they hurt anyone and apologise for the same. I am a true and proud citizen of this country,"" Mr Pathan told reporters in Mumbai.

Last week, amid protests against the contentious citizenship law, Mr Pathan was heard in a video that went viral saying, ""We have to move together. We have to take Azadi (freedom), things that we don't get by asking, we have to take it by force, remember it.""

""Now time has come, we are told that we have sent our mothers and sisters in the front and were sitting covered in blanket... Only our lionesses have come out and you are already sweating. Understand what will happen if we come together. (We may be) 15 crore, but are heavy on 100 (crore), remember it,"" Mr Pathan had said at an anti-CAA rally in North Karnataka's Kalaburagi on February 16, referring to the criticism against women, who are protesting against the CAA at Shaheen Bagh in Delhi.

Mr Pathan's comments had triggered a backlash from the BJP which said he should be booked for sedition. Shiv Sena leader Sanjay Raut added that his party is capable of giving a befitting reply to such statements.

As the issue snowballed, AIMIM chief Asaduddin Owaisi on Friday ""gagged"" Mr Pathan and has told him not to speak with the media and reportedly sought an explanation from him, news agency IANS reported.

With inputs from IANS

Comments",None
"Ramlila Maidan: An AAP supporter at the oath ceremony of Arvind Kejriwal in New Delhi (AFP)

Arvind Kejriwal today thanked the people of Delhi for ensuring their ""son"" returns as Chief Minister of the national capital for a third time. After taking oath at the historic Ramlila Maidan today, Mr Kejriwal addressed thousands of people, who cheered for him as he started speaking.

""Your son has taken the oath of Chief Minister for a third time. This is not my win, this is your victory. This is the victory of every Delhi wala, every mother, every sister, every youth, every student, every family in Delhi,"" Mr Kejriwal said.

""In the last five years we have tried to work on how to ensure every family can become happier, give some relief in their lives, how to develop Delhi fast... In the next five years our effort on this will go on,"" he said.

""Everyone, call your villages and tell them 'our son has become Chief Minister, there is no need to worry',"" the Chief Minister said, drawing applause from the crowd.

The Aam Aadmi Party won 62 seats in the Delhi assembly election - a near repeat of its 2015 tally of 67 seats at the end of one of the most polarising campaigns in the backdrop of the anti-CAA (Citizenship Amendment Act) protests.

The national capital has a large population of people from all walks of life who have come from outside the city. Mr Kejriwal's message today that they should ""call home"" to tell their ""son"" is the Chief Minister is being seen as his acknowledgement of their support.

""Some people voted AAP, some voted for BJP, some for Congress, but when I took oath as Chief Minister, I am the Chief Minister of everyone, of AAP, BJP, Congress and other parties. I have never been biased against anyone, have never said 'I won't help you because you voted for BJP'. I will work for everyone. In areas in the city where the BJP is strong, I have put water pipes, improved roads,"" Mr Kejriwal said.

In 2015 too, Mr Kejriwal's oath-taking ceremony took place at the Ramlila Maidan. It was held on February 14, coinciding with Valentine's Day. In 2013 after his party's first poll victory, the swearing-in ceremony was again held at the same venue.

Comments",aap
"Prime Minister says these decisions were necessary in national interest.

Despite international pressure, the government will continue to stand by its decision to revoke Article 370 in Jammu and Kashmir and introduce the Citizenship Amendment Act (CAA), Prime Minister Narendra Modi asserted on Sunday.

He said the country had ""awaited"" these decisions for many years. ""In national interest, these decisions were necessary,"" Mr. Modi said at an event in his parliamentary constituency Varanasi.

""Aur duniyabhar ke sare dawaabo ke bawajood, in faislo par hum kayam hai aur kayam rahenge [Despite the various international pressures, we stand by these decisions and will continue to stand by them,"" Mr. Modi said. The country was now taking decisions that were always left behind in the past, he added.

The Prime Minister's tough talk assumed significance in view of protests against the CAA in various parts of the country.

In Varanasi, Mr. Modi launched projects worth ?1,250 crore. He unveiled the statue of Deendayal Upadhyay, which, at 63 feet, is the largest statue of the leader in the country, as per the government. The Prime Minister also dedicated to the nation the Pandit Deendayal Upadhyaya Memorial Centre.

Mr. Modi flagged off the third corporate train, Mahakaal Express, which links three Jyotirling pilgrim centres -- Varanasi, Ujjain and Omkareshwar.

Earlier in the day, Mr. Modi attended the closing ceremony of the centenary celebration of Jagadguru Vishwaradhya Gurukul at Jangamwadi Mutt and released the translated version of 'Shri Siddhant Shikhamani Granth' in 19 languages. He also launched the 'Shri Siddhant Shikhamani Granth' mobile app.

Citing certain key decisions of his government, Mr. Modi referred to the trust set up for the construction of the Ram temple in Ayodhya and said it would work ""rapidly.""

He said that after setting up of the trust, the work on the construction of 'Ram dham' would start fast and added that his government had also decided to transfer 67 acres of land to the trust.

He also inaugurated a 430-bed superspeciality government hospital.

Mr. Modi said that in the past few years, ?25,000 crore worth developmental projects had either been completed or were going on at a fast pace in Varanasi.

Roadway, highway, waterway and railway had been given top priority by the government and the Purvanchal Expressway work was going on at fast speed in Uttar Pradesh.

The Prime Minister also laid emphasis on better connectivity of heritage and religious sites, saying tourism would be the main source of making the country a $5 trillion economy.",BJP
"GUWAHATI: A local court on Monday extended by four days the police remand of JNU student Sharjeel Imam who was arrested on charges of sedition and brought to the state last week.

Imam was brought to Assam from New Delhi on February 20 and produced in ourt which had initially sent him to four days' police remand, they said.

Upon the expiry of his police remand, he was on Monday produced before the Kamrup (Metro) Chief Judicial Magistrate.

The student, who came into the limelight during the ongoing protests at Shaheen Bagh against the Citizenship (Amendment) Act, was arrested from Bihar's Jehanabad on January 28 for allegedly making inflammatory speeches at the Jamia Millia Islamia University and in Aligarh.

Imam was slapped with a sedition case after his speeches went viral on social media wherein he was heard allegedly speaking about Assam's possible secession from the country in the wake of the CAA.

A case under the stringent Unlawful Activities (Prevention) Act (UAPA) has been registered against him in Assam.

On February 18, the Delhi Police had named Imam as an ""instigator"" in its charge sheet filed against 17 people in a case related to violence during protests against the CAA at New Friends Colony near Jamia Millia Islamia last year.

Meanwhile, Assam finance minister Himanta Biswa Sarma said the state government is keeping a tab on the developments related to Imam's interrogation.

On reports claiming that Imam had contact with AIUDF supremo Badruddin Ajmal for some years, Sarma told reporters, ""I have seen it in the media only.... If there is any connection found between them for unlawful activities, we will take necessary action.""",None
"Hyderabad: The NDA government has not defined whether the USD 5 trillion dollars economy it aims to achieve is real GDP or nominal, senior Congress leader P Chidambaram said on Saturday and claimed real GDP would not touch the figure at the current growth level by 2024 or 2025.

Chidambaram, who spoke on the Union Budget at a meeting organised by the party here, hit out at the government for allegedly proving to be incompetent in managing the economy. ""Firstly, the Modi government has still not defined whether 5 trillion dollars is real GDP or nominal.

Secondly, while Modi keeps on saying 2024, the economic survey, in the introduction, the goalpost has been shifted from 2024 to 2025. Be that as it may, at the current level of growth, real GDP will not touch 5 trillion dollars either by 2024 or 2025,"" the former Finance minister said.

Chidambaram was replying to a query on the government's ambitious target of USD 5 trillion economy. Interacting with the audience, he said the NDA government should not ""clutter"" the tax structure by seeking to introduce separate systems, one giving exemptions and other not.

Asked by a member of the audience whether there is a possibility of the government withdrawing various tax exemptions leading to the common man not having options to save money and tax, he felt that there was still confusion within the government on the matter.

""Even if all the income tax payers opt for the new system, the maximum benefit will be Rs 40,000 crore.What is Rs 40,000 crore when India's GDP is almost 2.7 trilllion dollars,"" he said. The impact would be so minimal that it won't make a big difference, he claimed.

Noting that the IT exemptions are savings, he said their withdrawal would lead to a decline in the savings habit which is not good for the country. ""More than anything else, I don't think the tax structure should be cluttered like this. You don't have anywhere a tax structure, system A, system B, system A for exemptions...Without exemptions.

I think it is cluttering up tax system. I would not have done it. The sooner they clarify what their intention is, the better,"" he said.

On the proposed disinvestment in LIC, he said there was no clarity whether the government would list or disinvest the insurance behemoth. ""Without clarity about whether they are listing or disinvesting. I cannot comment on it. But on LIC, unless they convince me why they want to disinvest, our present position is we are deeply suspicious of their motives to disinvest LIC,"" he said.

Chidambaram, who lashed out at the Union Budget for allegedly failing to lead the economy on the path of progress and job creation, alleged that the Modi government was like a helpless doctor who failed to diagnose the illness of a patient and treat him effectively.

""Altogether, the bottomline is we have a patient who is extremely ill. Doctor has proved himself incompetent. Diagnosis of the doctor is hopelessly wrong,"" he said.

People who diagnosed the illness correctly like Dr Arvind Subramanian, former Chief Economic Adviser, were allowed to go from the government, he said.""Not having diagnosed the illness of the patient, the doctor is helpless. The least the doctor can do is to say...I am sorry.

We made mistake, will Dr Manmohan Singh come and advise us,"" he said.

Asked whether it is true that the country spends one per cent GDP to keep 950,000 troops in Kashmir, he said there were more troops there than necessary. ""I think we are keeping many, many more troops in Kashmir than I would ever accept as necessary. I think it is wrong. We should thin out our troops deployment in Kashmir.

More than that, I think we should give back the freedom to the people of the Kashmir valley,"" Chidambaram said.

Slamming the Centre for invoking the Public Safety Act against former Jammu and Kashmir chief ministers Mehbooba Mufti and Omar Abdullah to keep them in detention for upto a further two years, he said ""there cannot be a greater outrage, a greater assault on liberty than what they have done.

I think all of us should collectively pray for that the freedom of the people of Kashmir, the 75 lakh people of Kashmir valley, is restored,"" he added.",BJP
"In some respite relief for the people of Delhi-NCR, the Uttar Pradesh Police on Friday reopened a key route that links Noida with Delhi's Kalindi Kunj.

To ease congestion due to protests at Shaheen Bagh, the UP Police reopened the road leading from Kalindi Kunj towards Faridabad. The stretch from Noida's Mahamaya flyover to Delhi and Faridabad has been reopened, sources in the UP Police said.

The Shaheen Bagh-Kalindi Kunj road in southeast Delhi has been blocked for over two months due to ongoing protests against CAA.

The stretch of Shaheen Bagh to Kalindi Kunj road which is about two to three kilometres has commercial centres housing shops and restaurants. The road ends at Atlanta Water Park. The Shaheen Bagh-Kalindi Kunj road is parallel to the Noida-Greater Noida Expressway which is used by a large number of commuters between Delhi and Noida.

Even as protesters claimed that the all the roads that are close to Shaheen Bagh-Kalindi Kunj road like the GD Birla road, Kalindi Kunj bridge, Amrapali Road, Okhla Barrage Road, Okhla Bird Sanctuary Road, Dadri main road and Noida-Greater Noida Expressway were open, the attention shifted to Kalindi Kunj-Shaheen Bagh stretch.

Advocate Amit Sahni had earlier approached the Delhi High Court seeking directions to the Delhi Police to ensure smooth traffic flow on the Kalindi Kunj-Shaheen Bagh stretch, which was blocked by anti-CAA protesters on December 15 last year.

Also read: Shaheen Bagh: Protest but don't block roads, SC tells protesters; appoints mediator

ALSO WATCH| Is BJP villianising Shaheen Bagh?",None
